NaN,NaN,NaN,NaN,7.0254,7.3515,7.2095,6.8643,7.1366,7.1889,7.1916,6.9455,7.222,7.5167,7.1569,7.3349,7.3123,6.3621,6.3624,6.1866,6.2978,7.3328,9.1033,10.474,8.4163,8.2713,8.1641,7.1216,6.5374,6.0854,6.1399,5.8946,6.1383,6.4878,6.5616,7.3444,6.7788,6.3306,6.3341,6.6846,9.6052,NaN,NaN
NaN,NaN,NaN,NaN,6.7947,7.1091,7.3565,7.0501,6.921,7.1874,7.0203,7.0762,7.2749,7.0233,7.2772,6.9271,6.6932,6.3416,6.2129,6.4467,6.4013,6.5399,8.623,10.035,8.2023,7.419,8.5271,6.9612,6.5497,6.438,7.1807,7.2073,6.8428,7.0453,7.7603,7.1958,6.2552,6.5059,5.9252,6.3495,8.6648,NaN,NaN
NaN,NaN,NaN,NaN,NaN,6.9137,7.0378,7.082,6.999,7.1879,7.0135,7.5761,6.8005,6.8031,7.3547,6.9723,6.0362,5.9912,6.1367,5.9455,6.3908,6.5446,7.7585,10.071,7.5479,6.8531,7.5467,8.2054,7.7871,7.6511,8.2554,8.6923,7.7785,8.6385,7.9919,7.3214,6.4024,6.2295,6.0722,6.1075,7.7766,NaN,NaN
NaN,NaN,NaN,NaN,NaN,7.3832,6.7961,7.5335,7.0751,6.9291,7.4778,7.6138,6.4849,6.3109,7.0743,6.2436,5.9661,5.9117,6.2841,6.2515,5.8665,6.3531,7.68,8.2254,7.9031,7.2298,7.6503,8.7082,7.3533,7.1414,7.0408,7.8932,8.2757,8.9543,9.3616,8.6815,7.4714,7.1764,6.1411,5.9629,6.2582,NaN,NaN
NaN,NaN,NaN,NaN,NaN,7.5451,7.0097,7.2253,6.4408,6.7009,7.7124,7.7825,6.7618,6.3539,6.6515,5.8261,5.8572,6.0537,6.0743,5.9893,5.6538,6.2395,6.7445,8.6286,8.5535,7.0117,7.6837,7.0139,6.4013,6.026,5.7204,6.6524,7.3115,7.7248,9.6044,8.9605,7.4115,6.6393,5.9261,5.639,6.2483,9.0619,NaN
NaN,NaN,NaN,NaN,NaN,6.8576,6.7031,6.7175,6.6767,6.6241,6.7369,7.4954,7.5047,6.1681,6.398,5.8672,5.781,5.8406,5.7145,6.2031,5.6333,5.9557,6.4009,8.3587,8.765,7.7442,7.2953,6.8999,6.2469,5.5366,5.4277,5.8004,6.6581,6.8792,7.6563,7.6741,7.7333,7.1033,5.904,5.7544,6.4999,9.0847,NaN
NaN,NaN,NaN,NaN,NaN,NaN,6.506,6.444,6.4657,6.3824,6.7338,6.3602,7.6545,6.9232,6.6218,5.7188,5.3319,5.4997,6.0332,6.3383,6.065,6.365,7.2544,8.6569,9.1374,7.359,7.142,6.9407,5.7568,5.1698,5.1095,5.3359,6.3271,6.9723,7.0291,7.3854,7.6742,7.3407,6.6307,6.2202,6.8953,9.0057,NaN
NaN,NaN,NaN,NaN,NaN,NaN,6.649,6.5119,6.0871,5.9271,6.4612,6.1903,6.6336,6.6206,7.4631,5.9655,5.4196,5.4068,5.8644,6.4554,6.8174,7.3667,7.976,8.461,8.2347,7.393,6.8172,6.3605,5.4592,4.9625,5.0735,5.4262,6.1057,6.7422,6.6444,6.7528,7.6783,7.6248,7.1277,6.5267,7.027,8.5904,NaN
NaN,NaN,NaN,NaN,NaN,NaN,6.751,6.5294,6.3216,5.9695,5.8727,6.3234,7.1136,6.9981,7.5193,6.6654,5.7054,5.6653,5.6891,6.4722,8.0504,8.4729,7.9111,7.3988,8.0183,7.124,7.1016,6.7924,6.1975,5.5705,5.8708,5.6766,6.1144,6.5323,7.1894,7.4608,8.0571,8.3223,6.8572,6.7181,6.8281,7.4657,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.6526,6.4755,6.2326,6.3228,6.5435,6.963,7.0295,6.8671,7.826,6.6853,5.7125,5.7235,7.0744,8.3872,8.4864,7.8817,6.9403,7.9674,7.6754,7.3863,6.8884,6.5745,6.722,5.9345,5.7605,6.1884,6.8579,7.2221,7.4637,7.6441,7.0277,6.314,6.6212,6.8254,7.4371,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.7321,6.8195,6.3891,6.3553,6.3833,6.3913,6.8356,6.6091,7.0221,6.5968,6.049,5.7417,7.0568,8.4047,7.7129,6.964,6.8977,7.7741,7.3133,5.9494,5.9016,5.7357,5.646,5.9345,5.8161,6.4939,7.1986,7.3517,7.1974,7.1026,6.4608,6.1531,6.5611,6.9237,7.682,NaN
