"utm_x","utm_y"
320846.122644,5638372.395487
320846.201374,5638372.029953
320846.273597,5638371.666757
320846.540328,5638370.21051
320846.58655,5638369.950405
320846.625307,5638369.724017
320846.667191,5638369.464058
320846.722736,5638369.098253
320846.771243,5638368.736946
320846.797652,5638368.489024
320846.876567,5638367.662012
320846.909634,5638367.303677
320846.927921,5638367.076726
320847.041614,5638365.575417
320847.052939,5638365.332235
320847.060337,5638364.979466
320847.063827,5638364.626888
320847.063807,5638364.386302
320847.063743,5638364.180877
320847.063628,5638363.940475
320847.050333,5638363.591657
320847.027614,5638363.236746
320847.009945,5638362.981805
320846.991435,5638362.758062
320846.966871,5638362.496766
320846.923199,5638362.115722
320846.870312,5638361.73947
320846.827546,5638361.490524
320846.785167,5638361.281605
320846.728769,5638361.039381
320846.623195,5638360.689487
320846.425303,5638360.103651
320846.355405,5638359.89995
320846.27044,5638359.663799
320846.142194,5638359.319299
320846.000556,5638358.986689
320845.884468,5638358.773621
320845.773349,5638358.598727
320845.640064,5638358.405464
320845.440213,5638358.145271
320845.235227,5638357.899976
320845.094218,5638357.735572
320844.972793,5638357.598855
320844.832308,5638357.450078
320844.635118,5638357.257049
320844.431945,5638357.074299
320844.277089,5638356.947097
320844.136956,5638356.83929
320843.973593,5638356.719072
320843.742868,5638356.553254
320843.504795,5638356.401309
320843.325621,5638356.311882
320842.721855,5638356.033815
320842.466783,5638355.917663
320842.292728,5638355.854216
320842.144286,5638355.805756
320841.967921,5638355.749352
320841.700863,5638355.664691
320841.107295,5638355.47873
320840.935661,5638355.432474
320840.694558,5638355.382571
320840.274094,5638355.305098
320840.117804,5638355.276946
320839.931327,5638355.244497
320839.652766,5638355.198452
320839.364669,5638355.152733
320839.157229,5638355.120188
320838.974453,5638355.092136
320838.762835,5638355.062182
320837.284493,5638354.858962
320836.993788,5638354.826377
320706.238563,5638340.842322
320701.355636,5638340.862473
320701.354416,5638340.862485
320701.351508,5638340.862526
320701.348037,5638340.862601
320701.34513,5638340.862716
320701.34391,5638340.862878
320696.835525,5638348.020668
320696.756724,5638348.150555
320696.658877,5638348.315518
320696.493388,5638348.600503
320696.326944,5638348.902086
320696.222071,5638349.10813
320696.135907,5638349.285878
320696.041912,5638349.487036
320695.919055,5638349.761302
320695.802503,5638350.033306
320695.722201,5638350.227647
320695.654209,5638350.397028
320695.575459,5638350.597702
320695.461131,5638350.897368
320695.349695,5638351.199157
320695.276543,5638351.401319
320695.215648,5638351.573292
320695.146742,5638351.781273
320695.047862,5638352.108176
320694.958073,5638352.437103
320694.908855,5638352.650331
320694.682427,5638353.633942
320692.341341,5638363.963254
320692.288384,5638364.198423
320689.031398,5638378.670049
320688.179529,5638382.558258
320688.096216,5638382.94363
320688.018152,5638383.324458
320687.728016,5638384.781524
320687.681643,5638385.030835
320687.535762,5638385.843533
320687.471776,5638386.200316
320687.11491,5638388.200844
320687.069084,5638388.477553
320686.771772,5638390.4461
320686.496709,5638392.300456
320686.47336,5638392.553354
320686.457115,5638392.773348
320686.439582,5638393.025953
320686.415271,5638393.381413
320686.377659,5638393.97573
320686.364556,5638394.183727
320686.358584,5638394.420144
320686.357815,5638394.744909
320686.357524,5638395.069497
320686.359102,5638395.304837
320686.363335,5638395.511634
320686.36947,5638395.755505
320686.384743,5638396.11455
320686.406145,5638396.477764
320686.423747,5638396.728506
320686.44198,5638396.94449
320686.466272,5638397.199213
320686.509363,5638397.574814
320686.562854,5638397.956507
320686.609924,5638398.228655
320686.658338,5638398.465577
320686.718703,5638398.730306
320686.816088,5638399.08681
320686.986717,5638399.657742
320687.044791,5638399.850054
320687.117166,5638400.070839
320687.234629,5638400.383213
320687.361699,5638400.693161
320687.454104,5638400.911835
320687.537497,5638401.100525
320687.641409,5638401.314269
320687.81304,5638401.612956
320688.101956,5638402.07509
320688.195268,5638402.221057
320688.312324,5638402.385669
320688.507525,5638402.617467
320688.715255,5638402.835555
320688.862158,5638402.973302
320688.991209,5638403.085167
320689.344702,5638403.386417
320689.549895,5638403.548816
320689.700275,5638403.65261
320689.831562,5638403.736224
320689.969878,5638403.812594
320690.126142,5638403.886165
320690.290583,5638403.954086
320690.458295,5638404.018355
320690.626107,5638404.081298
320694.022956,5638405.181509
320694.067586,5638405.19238
320703.963375,5638406.538969
320704.313731,5638406.58468
320718.376127,5638408.341151
320720.870282,5638408.645358
320722.838649,5638408.874242
320733.457554,5638410.084614
320733.83681,5638410.126794
320739.208304,5638410.720957
320750.072792,5638411.904334
320803.839574,5638417.710864
320809.577298,5638418.310629
320811.944956,5638418.544322
320817.198104,5638419.049502
320818.681248,5638419.1653
320819.061652,5638419.190196
320819.965037,5638419.245364
320820.24583,5638419.259737
320823.122768,5638419.369015
320823.384162,5638419.374088
320824.851745,5638419.379113
320825.222302,5638419.377098
320825.591079,5638419.372158
320825.840936,5638419.355984
320826.947381,5638419.214056
320827.183043,5638419.177749
320827.388824,5638419.14159
320827.624253,5638419.097945
320827.950137,5638419.034872
320828.277036,5638418.964114
320828.512754,5638418.904181
320830.453051,5638418.406696
320830.783843,5638418.305586
320831.102637,5638418.180216
320831.331684,5638418.072106
320831.530024,5638417.961951
320831.759474,5638417.823623
320832.087565,5638417.596818
320832.827978,5638417.055907
320833.042027,5638416.888887
320833.337309,5638416.63267
320833.611034,5638416.368357
320833.778036,5638416.18181
320834.277517,5638415.574425
320834.478727,5638415.31807
320834.601323,5638415.142103
320834.699427,5638414.991087
320834.813227,5638414.80563
320834.983341,5638414.504134
320835.144532,5638414.20054
320835.239684,5638414.014867
320835.31526,5638413.862856
320835.408042,5638413.671997
320835.561303,5638413.350235
320835.713978,5638413.012127
320835.808281,5638412.782737
320835.885167,5638412.585163
320835.973013,5638412.353876
320836.098492,5638412.01775
320836.219684,5638411.677498
320836.666124,5638410.326362
320837.353561,5638408.191594
320838.212468,5638405.46808
320838.332175,5638405.072136
320838.443579,5638404.680929
320838.512131,5638404.420907
320839.00196,5638402.491096
320839.402999,5638400.844696
320846.122644,5638372.395487
