"utm_x","utm_y","var1.pred","var1.var"
320717.738546,5638214.798974,NaN,NaN
320718.738546,5638214.798974,NaN,NaN
320719.738546,5638214.798974,NaN,NaN
320720.738546,5638214.798974,NaN,NaN
320721.738546,5638214.798974,NaN,NaN
320722.738546,5638214.798974,NaN,NaN
320723.738546,5638214.798974,NaN,NaN
320724.738546,5638214.798974,NaN,NaN
320725.738546,5638214.798974,NaN,NaN
320726.738546,5638214.798974,NaN,NaN
320727.738546,5638214.798974,NaN,NaN
320728.738546,5638214.798974,NaN,NaN
320729.738546,5638214.798974,NaN,NaN
320730.738546,5638214.798974,NaN,NaN
320731.738546,5638214.798974,NaN,NaN
320732.738546,5638214.798974,NaN,NaN
320733.738546,5638214.798974,NaN,NaN
320734.738546,5638214.798974,NaN,NaN
320735.738546,5638214.798974,NaN,NaN
320736.738546,5638214.798974,NaN,NaN
320737.738546,5638214.798974,NaN,NaN
320738.738546,5638214.798974,NaN,NaN
320739.738546,5638214.798974,NaN,NaN
320740.738546,5638214.798974,NaN,NaN
320741.738546,5638214.798974,NaN,NaN
320742.738546,5638214.798974,NaN,NaN
320743.738546,5638214.798974,NaN,NaN
320744.738546,5638214.798974,NaN,NaN
320745.738546,5638214.798974,NaN,NaN
320746.738546,5638214.798974,NaN,NaN
320747.738546,5638214.798974,NaN,NaN
320748.738546,5638214.798974,NaN,NaN
320749.738546,5638214.798974,NaN,NaN
320750.738546,5638214.798974,NaN,NaN
320751.738546,5638214.798974,NaN,NaN
320752.738546,5638214.798974,NaN,NaN
320753.738546,5638214.798974,NaN,NaN
320754.738546,5638214.798974,NaN,NaN
320755.738546,5638214.798974,NaN,NaN
320756.738546,5638214.798974,NaN,NaN
320757.738546,5638214.798974,NaN,NaN
320758.738546,5638214.798974,NaN,NaN
320759.738546,5638214.798974,NaN,NaN
320760.738546,5638214.798974,NaN,NaN
320761.738546,5638214.798974,NaN,NaN
320762.738546,5638214.798974,NaN,NaN
320763.738546,5638214.798974,NaN,NaN
320764.738546,5638214.798974,NaN,NaN
320765.738546,5638214.798974,NaN,NaN
320766.738546,5638214.798974,NaN,NaN
320767.738546,5638214.798974,NaN,NaN
320768.738546,5638214.798974,NaN,NaN
320769.738546,5638214.798974,NaN,NaN
320770.738546,5638214.798974,NaN,NaN
320771.738546,5638214.798974,NaN,NaN
320772.738546,5638214.798974,NaN,NaN
320773.738546,5638214.798974,NaN,NaN
320774.738546,5638214.798974,NaN,NaN
320775.738546,5638214.798974,NaN,NaN
320776.738546,5638214.798974,NaN,NaN
320777.738546,5638214.798974,NaN,NaN
320778.738546,5638214.798974,NaN,NaN
320779.738546,5638214.798974,NaN,NaN
320780.738546,5638214.798974,NaN,NaN
320781.738546,5638214.798974,NaN,NaN
320782.738546,5638214.798974,NaN,NaN
320783.738546,5638214.798974,NaN,NaN
320784.738546,5638214.798974,NaN,NaN
320785.738546,5638214.798974,NaN,NaN
320786.738546,5638214.798974,NaN,NaN
320787.738546,5638214.798974,NaN,NaN
320788.738546,5638214.798974,NaN,NaN
320789.738546,5638214.798974,NaN,NaN
320790.738546,5638214.798974,NaN,NaN
320791.738546,5638214.798974,NaN,NaN
320792.738546,5638214.798974,NaN,NaN
320793.738546,5638214.798974,NaN,NaN
320794.738546,5638214.798974,NaN,NaN
320795.738546,5638214.798974,NaN,NaN
320796.738546,5638214.798974,NaN,NaN
320797.738546,5638214.798974,NaN,NaN
320798.738546,5638214.798974,NaN,NaN
320799.738546,5638214.798974,NaN,NaN
320800.738546,5638214.798974,NaN,NaN
320801.738546,5638214.798974,NaN,NaN
320802.738546,5638214.798974,NaN,NaN
320803.738546,5638214.798974,NaN,NaN
320804.738546,5638214.798974,NaN,NaN
320805.738546,5638214.798974,NaN,NaN
320806.738546,5638214.798974,NaN,NaN
320807.738546,5638214.798974,NaN,NaN
320808.738546,5638214.798974,NaN,NaN
320809.738546,5638214.798974,NaN,NaN
320810.738546,5638214.798974,NaN,NaN
320811.738546,5638214.798974,NaN,NaN
320812.738546,5638214.798974,NaN,NaN
320813.738546,5638214.798974,NaN,NaN
320814.738546,5638214.798974,NaN,NaN
320815.738546,5638214.798974,NaN,NaN
320816.738546,5638214.798974,NaN,NaN
320817.738546,5638214.798974,NaN,NaN
320818.738546,5638214.798974,NaN,NaN
320819.738546,5638214.798974,NaN,NaN
320820.738546,5638214.798974,NaN,NaN
320821.738546,5638214.798974,NaN,NaN
320822.738546,5638214.798974,NaN,NaN
320823.738546,5638214.798974,NaN,NaN
320824.738546,5638214.798974,NaN,NaN
320825.738546,5638214.798974,NaN,NaN
320826.738546,5638214.798974,NaN,NaN
320827.738546,5638214.798974,NaN,NaN
320828.738546,5638214.798974,NaN,NaN
320829.738546,5638214.798974,NaN,NaN
320830.738546,5638214.798974,NaN,NaN
320831.738546,5638214.798974,NaN,NaN
320832.738546,5638214.798974,NaN,NaN
320833.738546,5638214.798974,NaN,NaN
320834.738546,5638214.798974,NaN,NaN
320835.738546,5638214.798974,NaN,NaN
320836.738546,5638214.798974,NaN,NaN
320837.738546,5638214.798974,NaN,NaN
320838.738546,5638214.798974,NaN,NaN
320839.738546,5638214.798974,NaN,NaN
320840.738546,5638214.798974,NaN,NaN
320841.738546,5638214.798974,NaN,NaN
320842.738546,5638214.798974,NaN,NaN
320843.738546,5638214.798974,NaN,NaN
320844.738546,5638214.798974,NaN,NaN
320845.738546,5638214.798974,NaN,NaN
320846.738546,5638214.798974,NaN,NaN
320847.738546,5638214.798974,NaN,NaN
